citing_pat	cited_pat	year(patent.date)
4793355	4017858	1988
4793355	4298874	1988
8350726	3868565	2013
7662113	3868565	2010
7662113	3983474	2010
7662113	4017858	2010
8381836	3868565	2013
8381836	3983474	2013
7775301	3868565	2010
7775301	3983474	2010
8437833	3868565	2013
6866643	3868565	2005
6866643	3983474	2005
6866643	4017858	2005
7570060	3868565	2009
7570060	3983474	2009
7313430	3868565	2007
7313430	3983474	2007
7313430	4017858	2007
7313430	4298874	2007
7313430	4339953	2007
8512256	3868565	2013
8436780	3868565	2013
8436780	3983474	2013
7794407	3868565	2010
8494613	3868565	2013
8494613	3983474	2013
8494613	4017858	2013
8494613	4298874	2013
8494613	4339953	2013
8494614	3868565	2013
8494614	3983474	2013
8494614	4017858	2013
8494614	4298874	2013
8494614	4339953	2013
7599730	3868565	2009
7599730	3983474	2009
7599730	4017858	2009
7599730	4298874	2009
7599730	4339953	2009
7139601	3868565	2006
7139601	3983474	2006
7859249	3868565	2010
7859249	3983474	2010
8165658	3868565	2012
8165658	3983474	2012
8165658	4017858	2012
8165658	4298874	2012
8165658	4339953	2012
7925328	3868565	2011
7925328	3983474	2011
7925328	4017858	2011
7925328	4298874	2011
7925328	4339953	2011
8246602	3868565	2012
7425829	3868565	2008
7425829	3983474	2008
7960973	3868565	2011
7960973	3983474	2011
8467853	3868565	2013
8467853	3983474	2013
8467853	4017858	2013
8467853	4298874	2013
8467853	4339953	2013
4007419	3868570	1977
4583833	3868651	1986
4583833	3983542	1986
4583833	3988720	1986
4787077	3868651	1988
7850737	3868730	2010
7850737	4280231	2010
5376121	3868730	1994
5376121	4280231	1994
4131956	3868730	1979
6042611	3868730	2000
6042611	4040130	2000
4301553	3868730	1981
RE38409	3868730	2004
RE38409	4040130	2004
4718414	3868730	1988
4950299	3868730	1990
4950299	4040130	1990
4960427	3868730	1990
4960427	4040130	1990
8277513	3868730	2012
8545571	3868730	2013
8545571	4134158	2013
5314484	3868730	1994
5314484	4280231	1994
7753960	3868730	2010
6250776	3868732	2001
6398447	3868732	2002
6568126	3868732	2003
5005229	3868732	1991
4845393	3868766	1989
4586290	3868788	1986
4586290	4241542	1986
4586290	4246726	1986
6286281	3868796	2001
5560624	3868886	1996
5613404	3868896	1997
5833528	3868896	1998
4252547	3868896	1981
4467706	3868896	1984
4684381	3868896	1987
4048911	3868896	1977
5552761	3868923	1996
4118946	3868945	1978
4146012	3868945	1979
4287883	3868945	1981
4325359	3868945	1982
4601072	3868945	1986
4621613	3868945	1986
4621613	4228788	1986
3991742	3868945	1976
5012796	3868945	1991
5012796	4333186	1991
4061132	3868945	1977
4724889	3868986	1988
8240490	3868986	2012
4438781	3868991	1984
4426101	3869015	1984
4238104	3869017	1980
7083024	3869017	2006
8104736	3869017	2012
5853118	3869038	1998
6230955	3869038	2001
4184624	3869078	1980
4184624	4085885	1980
5014854	3869078	1991
5080233	3869078	1992
5080233	3892347	1992
5080233	4244474	1992
4616141	3869098	1986
4616141	3973786	1986
4616141	4023746	1986
4616141	4065072	1986
4616141	4307853	1986
6354973	3869138	2002
6533690	3869138	2003
4068813	3869144	1978
4068813	3941064	1978
4072334	3869167	1978
4069662	3869222	1978
8328505	3869222	2012
8092160	3869222	2012
4019320	3869222	1977
4255116	3869246	1981
