treatment	grant_year
3886144	1975
3886164	1975
3886167	1975
3886174	1975
3886175	1975
3886240	1975
3886241	1975
3886250	1975
3886518	1975
3886549	1975
3886577	1975
3886649	1975
3886699	1975
3886729	1975
3886732	1975
3886740	1975
3886741	1975
3886761	1975
3886766	1975
3886785	1975
3886802	1975
3886809	1975
3886813	1975
3886895	1975
3886901	1975
3886912	1975
3886914	1975
3886915	1975
3886918	1975
3886920	1975
3886922	1975
3886955	1975
3887023	1975
3887026	1975
3887027	1975
3887035	1975
3887084	1975
3887109	1975
3887187	1975
3887201	1975
3887211	1975
3887213	1975
3887214	1975
3887220	1975
3887229	1975
3887282	1975
3887295	1975
3887311	1975
3887411	1975
3887412	1975
3887473	1975
3887496	1975
3887501	1975
3887505	1975
3887575	1975
3887619	1975
3887661	1975
3887714	1975
3887758	1975
3887826	1975
3887908	1975
3887956	1975
3888021	1975
3888035	1975
3888036	1975
3888044	1975
3888046	1975
3888091	1975
3888143	1975
3888191	1975
3888219	1975
3888221	1975
3888223	1975
3888226	1975
3888227	1975
3888228	1975
3888259	1975
3888269	1975
3888296	1975
3888315	1975
3888321	1975
3888323	1975
3888331	1975
3888340	1975
3888341	1975
3888344	1975
3888355	1975
3888411	1975
3888420	1975
3888440	1975
3888441	1975
3888458	1975
3888459	1975
3888469	1975
3888503	1975
3888506	1975
3888509	1975
3888523	1975
3888541	1975
3888546	1975
3888557	1975
3888606	1975
3888613	1975
3888656	1975
3888663	1975
3888720	1975
3888746	1975
3888752	1975
3888777	1975
3888833	1975
3888847	1975
3888869	1975
3888904	1975
3888916	1975
3888919	1975
3888943	1975
3888982	1975
3889023	1975
3889088	1975
3889101	1975
3889111	1975
3889141	1975
3889242	1975
3889285	1975
3889330	1975
3889349	1975
3889392	1975
3889467	1975
3889468	1975
3889509	1975
3889521	1975
3889528	1975
3889535	1975
3889542	1975
3889573	1975
3889618	1975
3889629	1975
3889647	1975
3889649	1975
3889654	1975
3889709	1975
3889734	1975
3889737	1975
3889781	1975
3889805	1975
3889828	1975
3889858	1975
3889919	1975
3889976	1975
3889984	1975
3890014	1975
3890023	1975
3890052	1975
3890067	1975
3890069	1975
3890172	1975
3890173	1975
3890238	1975
3890269	1975
3890271	1975
3890297	1975
3890316	1975
3890334	1975
3890363	1975
3890371	1975
3890372	1975
3890383	1975
3890405	1975
3890413	1975
3890447	1975
3890478	1975
3890517	1975
3890644	1975
3890720	1975
3890742	1975
3890773	1975
3890860	1975
3890869	1975
3890870	1975
3890882	1975
3890890	1975
3890921	1975
3890937	1975
3890987	1975
3891003	1975
3891005	1975
3891021	1975
3891107	1975
3891166	1975
3891174	1975
3891189	1975
3891274	1975
3891276	1975
3891279	1975
3891305	1975
3891324	1975
3891336	1975
3891417	1975
3891448	1975
3891449	1975
3891473	1975
3891512	1975
3891534	1975
3891542	1975
3891548	1975
3891578	1975
3891579	1975
3891598	1975
3891605	1975
3891666	1975
3891690	1975
3891731	1975
3891767	1975
3891769	1975
3891784	1975
3891823	1975
3891834	1975
3891842	1975
3891965	1975
3891970	1975
3892002	1975
3892026	1975
3892095	1975
3892137	1975
3892213	1975
3892214	1975
3892216	1975
3892223	1975
3892224	1975
3892256	1975
3892297	1975
3892298	1975
3892347	1975
3892390	1975
3892393	1975
3892419	1975
3892444	1975
3892451	1975
3892710	1975
3892711	1975
3892729	1975
3892730	1975
3892743	1975
3892763	1975
3892792	1975
3892795	1975
3892947	1975
3892981	1975
3893206	1975
3893207	1975
3893215	1975
3893217	1975
3893230	1975
3893285	1975
3893292	1975
3893296	1975
3893345	1975
3893351	1975
3893407	1975
3893430	1975
3893441	1975
3893472	1975
3893496	1975
3893526	1975
3893528	1975
3893580	1975
3893628	1975
3893644	1975
3893677	1975
3893690	1975
3893692	1975
3893696	1975
3893703	1975
3893704	1975
3893730	1975
3893786	1975
3893790	1975
3893960	1975
3893969	1975
3894000	1975
3894025	1975
3894062	1975
3894209	1975
3894308	1975
3894363	1975
3894377	1975
3894383	1975
3894397	1975
3894456	1975
3894472	1975
3894575	1975
3894619	1975
3894626	1975
3894668	1975
3894758	1975
3894768	1975
3894776	1975
3894778	1975
3894787	1975
3894802	1975
3894855	1975
3894987	1975
3894988	1975
3895010	1975
3895053	1975
3895058	1975
3895083	1975
3895088	1975
3895171	1975
3895217	1975
3895277	1975
3895381	1975
3895426	1975
3895444	1975
3895461	1975
3895501	1975
3895568	1975
3895607	1975
3895615	1975
3895682	1975
3895716	1975
3895802	1975
3895805	1975
3895821	1975
3895823	1975
3895828	1975
3895897	1975
3896073	1975
3896109	1975
3896122	1975
3896140	1975
3896156	1975
3896195	1975
3896239	1975
3896252	1975
3896409	1975
3896452	1975
3896463	1975
3896512	1975
3896618	1975
3896660	1975
3896670	1975
3896676	1975
3896681	1975
3896684	1975
3896685	1975
3896690	1975
3896705	1975
3896717	1975
3896741	1975
3896774	1975
3896781	1975
3896782	1975
3896816	1975
3896848	1975
3896849	1975
3896861	1975
3896892	1975
3896901	1975
3897004	1975
3897081	1975
3897095	1975
3897096	1975
3897104	1975
3897149	1975
3897213	1975
3897262	1975
3897330	1975
3897446	1975
3897511	1975
3897524	1975
3897528	1975
3897530	1975
3897611	1975
3897621	1975
3897653	1975
3897747	1975
3897765	1975
3897769	1975
3897785	1975
3897810	1975
3897819	1975
3897834	1975
3897885	1975
3897913	1975
3897960	1975
3897961	1975
3897962	1975
3897974	1975
3897995	1975
3898063	1975
3898090	1975
3898092	1975
3898138	1975
3898185	1975
3898300	1975
3898312	1975
3898419	1975
3898459	1975
3898535	1975
3898561	1975
3898652	1975
3898655	1975
3898796	1975
3898812	1975
3898823	1975
3898824	1975
3898864	1975
3898875	1975
3898888	1975
3898892	1975
3898915	1975
3898995	1975
3899046	1975
3899055	1975
3899059	1975
3899091	1975
3899120	1975
3899146	1975
3899151	1975
3899182	1975
3899202	1975
3899211	1975
3899226	1975
3899269	1975
3899374	1975
3899426	1975
3899444	1975
3899466	1975
3899515	1975
3899526	1975
3899558	1975
3899587	1975
3899600	1975
3899627	1975
3899770	1975
3899784	1975
3899805	1975
3899838	1975
3899854	1975
3899875	1975
3899889	1975
3899897	1975
3899909	1975
3899913	1975
3899922	1975
3899944	1975
3900075	1975
3900089	1975
3900142	1975
3900183	1975
3900187	1975
3900210	1975
3900222	1975
3900230	1975
3900284	1975
3900296	1975
3900395	1975
3900397	1975
3900410	1975
3900416	1975
3900434	1975
3900471	1975
3900476	1975
3900509	1975
3900513	1975
3900530	1975
3900616	1975
3900619	1975
3900629	1975
3900682	1975
3900786	1975
3900840	1975
3900937	1975
3900948	1975
3900980	1975
3900989	1975
3901000	1975
3901030	1975
3901031	1975
3901092	1975
3901102	1975
3901103	1975
3901117	1975
3901139	1975
3901152	1975
3901200	1975
3901203	1975
3901213	1975
3901258	1975
3901272	1975
3901323	1975
3901339	1975
3901346	1975
3901363	1975
3901407	1975
3901433	1975
3901459	1975
3901460	1975
3901461	1975
3901496	1975
3901497	1975
3901525	1975
3901530	1975
3901547	1975
3901573	1975
3901579	1975
3901595	1975
3901605	1975
3901622	1975
3901640	1975
3901651	1975
3901734	1975
3901742	1975
3901752	1975
3901779	1975
3901806	1975
3901816	1975
3901825	1975
3901834	1975
3901845	1975
3901881	1975
3901913	1975
3901923	1975
3901964	1975
3901976	1975
3902106	1975
3902110	1975
3902281	1975
3902316	1975
3902318	1975
3902319	1975
3902349	1975
3902378	1975
3902430	1975
3902448	1975
3902464	1975
3902467	1975
3902473	1975
3902508	1975
3902565	1975
3902589	1975
3902625	1975
3902665	1975
3902690	1975
3902753	1975
3902813	1975
3902816	1975
3902853	1975
3902899	1975
3902923	1975
3902928	1975
3902937	1975
3902938	1975
3902943	1975
3903076	1975
3903084	1975
3903097	1975
3903103	1975
3903105	1975
3903122	1975
3903131	1975
3903163	1975
3903215	1975
3903224	1975
3903254	1975
3903297	1975
3903311	1975
3903313	1975
3903396	1975
3903429	1975
3903443	1975
3903499	1975
3903582	1975
3903643	1975
3903647	1975
3903749	1975
3903754	1975
3903765	1975
3903774	1975
3903790	1975
3903802	1975
3903839	1975
3903844	1975
3903847	1975
3903848	1975
3903851	1975
3903855	1975
3903856	1975
3903859	1975
3903923	1975
3903950	1975
3903952	1975
3903987	1975
3904007	1975
3904072	1975
3904146	1975
3904169	1975
3904177	1975
3904202	1975
3904211	1975
3904217	1975
3904219	1975
3904222	1975
3904224	1975
3904241	1975
3904242	1975
3904526	1975
3904595	1975
3904606	1975
3904631	1975
3904648	1975
3904657	1975
3904679	1975
3904822	1975
3904894	1975
3904944	1975
3905052	1975
3905093	1975
3905134	1975
3905159	1975
3905171	1975
3905181	1975
3905244	1975
3905267	1975
3905274	1975
3905280	1975
3905287	1975
3905346	1975
3905403	1975
3905466	1975
3905495	1975
3905511	1975
3905623	1975
3905630	1975
3905654	1975
3905662	1975
3905668	1975
3905678	1975
3905721	1975
3905748	1975
3905756	1975
3905823	1975
3905897	1975
3906019	1975
3906071	1975
3906100	1975
3906146	1975
3906177	1975
3906178	1975
3906188	1975
3906240	1975
3906341	1975
3906441	1975
3906442	1975
3906546	1975
3906579	1975
3906681	1975
3906717	1975
3906721	1975
3906727	1975
3906728	1975
3906785	1975
3906810	1975
3906834	1975
3906867	1975
3906907	1975
3906910	1975
3906912	1975
3906915	1975
3906919	1975
3906929	1975
3906968	1975
3906990	1975
3906997	1975
3906999	1975
3907001	1975
3907098	1975
3907113	1975
3907114	1975
3907120	1975
3907142	1975
3907150	1975
3907153	1975
3907183	1975
3907199	1975
3907218	1975
3907236	1975
3907254	1975
3907311	1975
3907326	1975
3907329	1975
3907335	1975
3907347	1975
3907363	1975
3907376	1975
3907402	1975
3907431	1975
3907435	1975
3907458	1975
3907464	1975
3907466	1975
3907468	1975
3907469	1975
3907545	1975
3907592	1975
3907643	1975
3907696	1975
3907741	1975
3907744	1975
3907774	1975
3907779	1975
3907821	1975
3907847	1975
3907849	1975
3907871	1975
3907872	1975
3907888	1975
3907916	1975
3907941	1975
3907952	1975
3907990	1975
3908001	1975
3908024	1975
3908070	1975
3908085	1975
3908149	1975
3908208	1975
3908305	1975
3908310	1975
3908320	1975
3908326	1975
3908368	1975
3908369	1975
3908372	1975
3908386	1975
3908518	1975
3908557	1975
3908572	1975
3908601	1975
3908746	1975
3908752	1975
3908755	1975
3908795	1975
3908830	1975
