patent_id	inventor_id
3869140	3860259-2
3869142	3869142-1
3869144	3869144-1
3869144	3869144-2
3869157	3869157-1
3869167	3867919-1
3869173	3869173-1
3869173	3869173-2
3869175	3860296-1
3869177	3869177-1
3869177	3869177-2
3869177	3869177-3
3869222	3869222-1
3869222	3869222-2
3869246	3869246-1
3869246	3869246-2
3869258	3869258-1
3869259	3869259-1
3869279	3869279-1
3869279	3869279-2
3869299	3869299-1
3869424	3862085-1
3869425	3862085-1
3869426	3862085-1
3869466	3869466-1
3869528	3868934-1
3869530	3869530-1
3869544	3869544-1
3869544	3869544-2
3869544	3869544-3
3869545	3869545-1
3869545	3869545-2
3869669	3869669-1
3869669	3869669-2
3869740	3869740-1
3869760	3860999-1
3869785	3858691-1
3869801	3869801-1
3869827	3869827-1
3869827	3869827-2
3869833	3869833-1
3869859	3869859-1
3869925	3859862-1
3869934	3869934-1
3869943	3869943-1
3869947	3869947-1
3870058	3870058-1
3870086	3870086-1
3870120	3859485-1
3870154	3870154-1
3870154	3870154-2
3870157	3870157-1
3870202	3870202-1
3870202	3870202-2
3870211	3870211-1
3870221	3870221-1
3870270	3870270-1
3870271	3870271-1
3870363	3861556-2
3870384	3858288-1
3870390	3870390-1
3870404	3870404-1
3870404	3870404-2
3870412	3870412-1
3870417	3870417-1
3870505	3870505-1
3870618	3870618-1
3870618	3870618-2
3870640	3870640-1
3870699	3870699-1
3870744	3870744-1
3870789	3870789-1
3870793	3870793-1
3870794	3870794-1
3870794	3870794-2
3870794	3870794-3
3870794	3870794-4
3870978	3870978-1
3870987	3863116-2
3870987	3863116-1
3871029	3871029-1
3871041	3871041-1
3871060	3871060-1
3871063	3871063-1
3871089	3871089-1
3871090	3871090-1
3871090	3871090-2
3871093	3858288-1
3871140	3871140-1
3871140	3871140-2
3871203	3871203-1
3871249	3871249-1
3871306	3871306-1
3871306	3871306-2
3871306	3871306-3
3871316	3871316-1
3871317	3871317-1
3871350	3871350-1
3871430	3860999-1
3871526	3871526-1
3871540	3871540-1
3871585	3871585-1
3871585	3871585-2
3871585	3871585-3
3871589	3871589-1
3871589	3871589-2
3871627	3871627-1
3871669	3871669-1
3871670	3871670-1
3871684	3862864-1
3871684	3871684-2
3871684	3871684-3
3871704	3871704-1
3871704	3871704-2
3871704	3871704-3
3871717	3871717-1
3871720	3871720-1
3871720	3871720-2
3871796	3871796-1
3871810	3869304-2
3871850	3871850-1
3871876	3871876-1
3871876	3871876-2
3872038	3872038-1
3872038	3872038-2
3872047	3872047-1
3872176	3872176-1
3872176	3872176-2
3872232	3872232-1
3872270	3872270-1
3872279	3872279-1
3872319	3872319-1
3872320	3872320-1
3872438	3872438-1
3872438	3872438-2
3872492	3872492-1
3872515	3872515-1
3872515	3860008-3
3872515	3872515-3
3872526	3872526-1
3872540	3872540-1
3872544	3872544-1
3872548	3872548-1
3872548	3872548-2
3872548	3872548-3
3872602	3872602-1
3872602	3872602-2
3872638	3872638-1
3872650	3872650-1
3872666	3872666-1
3872669	3862668-1
3872687	3872687-1
3872687	3872687-2
3872689	3872687-2
3872701	3872701-1
3872705	3872705-1
3872709	3872709-1
3872712	3858289-2
3872712	3858289-3
3872755	3872755-1
3872755	3872755-2
3872755	3872755-3
3872797	3872797-1
3872797	3872797-2
3872802	3872802-1
3872802	3862785-3
3872805	3872805-1
3872805	3872805-2
3872845	3872845-1
3872846	3872846-1
3872846	3872846-2
3872846	3872846-3
3872847	3872847-1
3872847	3872847-2
3872847	3872847-3
3872848	3872848-1
3872849	3872849-1
3872849	3872849-2
3872867	3872867-1
3872890	3872890-1
3872918	3872918-1
3872949	3872949-1
3872955	3872955-1
3872979	3872979-1
3872983	3872983-1
3872990	3872990-1
3873041	3873041-1
3873041	3865329-2
3873094	3873094-1
3873094	3873094-2
3873107	3873107-1
3873107	3873107-2
3873107	3873107-3
3873155	3861556-2
3873170	3862785-3
3873170	3862785-1
3873176	3873176-1
3873249	3873249-1
3873250	3873250-1
3873251	3873250-1
3873334	3873334-1
3873334	3873334-2
3873348	3873348-1
3873348	3873348-2
3873348	3873348-3
3873392	3873392-1
3873392	3873392-2
3873488	3873488-1
3873488	3873488-2
3873488	3873488-3
3873493	3873493-1
3873493	3873493-2
3873499	3873499-1
3873499	3873499-2
3873499	3873499-3
3873502	3873502-1
3873502	3873502-2
3873523	3873523-1
3873523	3873523-2
3873565	3873565-1
3873565	3873565-2
3873570	3873570-1
3873571	3873570-1
3873636	3865897-3
3873636	3873636-2
3873727	3873727-1
3873727	3873727-2
3873743	3860521-2
3873743	3860521-3
3873755	3873755-1
3873758	3862785-2
3873758	3873758-2
3873770	3873770-1
3873789	3873789-1
3873800	3873800-1
3873864	3873864-1
3873901	3873901-1
3873901	3873901-2
3873902	3873902-1
3873955	3873955-1
3873997	3858242-1
3874049	3874049-1
3874059	3874059-1
3874089	3874089-1
3874095	3874095-1
3874096	3874096-1
3874098	3874098-1
3874138	3874138-1
3874219	3874219-1
3874219	3874219-2
3874250	3874250-1
3874265	3874265-1
3874321	3874321-1
3874340	3874340-1
3874340	3874340-2
3874354	3874354-1
3874361	3874361-1
3874474	3859627-1
3874485	3874485-1
3874538	3874538-1
3874538	3874538-2
3874647	3874647-1
3874682	3874682-1
3874694	3858824-1
3874702	3874702-1
3874707	3874707-1
3874709	3874709-1
3874719	3874719-1
3874722	3874722-1
3874729	3874729-1
3874730	3874730-1
3874731	3874731-1
3874754	3874754-1
3874754	3874754-2
3874754	3874754-3
3874773	3874773-1
3874808	3874808-1
3874808	3874808-2
3874808	3874808-3
3874841	3874841-1
3874854	3874854-1
3874883	3874883-1
3874883	3874883-2
3874883	3874883-3
3874893	3874893-1
3874983	3874983-1
3874983	3874983-2
3875027	3875027-1
3875032	3875032-1
3875059	3875059-1
3875187	3875187-1
3875187	3873502-1
3875187	3875187-3
3875203	3875203-1
3875203	3875203-2
3875203	3862184-1
3875214	3862984-2
3875215	3875215-1
3875226	3875226-1
3875226	3875226-2
3875226	3875226-3
3875242	3862232-1
3875258	3875258-1
3875258	3875258-2
3875258	3875258-3
3875258	3875258-4
3875281	3875281-1
3875293	3875293-1
3875296	3875296-1
3875382	3864613-1
3875392	3875392-1
3875475	3875475-1
3875483	3875483-1
3875566	3875566-1
3875594	3875594-1
3875604	3875604-1
3875604	3875604-2
3875661	3875661-1
3875661	3875661-2
3875674	3875674-1
3875703	3875703-1
3875707	3875707-1
3875719	3875719-1
3875820	3875820-1
3875847	3875847-1
3875848	3875848-1
3875908	3875908-1
3875952	3875952-1
3875987	3875987-1
3875994	3875994-1
3875994	3875994-2
3876023	3876023-1
3876023	3876023-2
3876023	3876023-3
3876031	3876031-1
3876093	3876093-1
3876126	3876126-1
3876163	3876163-1
3876164	3876164-1
3876193	3876193-1
3876214	3876214-1
3876228	3876228-1
3876228	3876228-2
3876228	3876228-3
3876248	3876248-1
3876338	3876338-1
3876338	3876338-2
3876339	3864064-1
3876341	3876341-1
3876346	3876346-1
3876347	3876347-1
3876347	3876347-2
3876352	3876352-1
3876352	3876352-2
3876399	3876399-1
3876470	3876470-1
3876492	3876492-1
3876495	3876495-1
3876509	3876509-1
3876509	3875293-1
3876509	3862974-3
3876509	3876509-4
3876513	3866289-3
3876513	3876513-2
3876520	3876520-1
3876520	3876520-2
3876520	3876520-3
3876611	3862085-1
3876612	3876612-1
3876612	3862085-1
3876619	3876619-1
3876674	3871540-1
3876676	3869545-2
3876676	3869545-1
3876743	3876743-1
3876743	3876743-2
3876746	3876746-1
3876750	3876750-1
3876812	3858717-1
3876820	3876820-1
3876974	3876974-1
3877000	3877000-1
3877002	3877002-1
3877002	3877002-2
3877020	3877020-1
3877020	3877020-2
3877049	3877049-1
3877053	3877053-1
3877087	3877087-1
3877115	3877115-1
3877115	3877115-2
3877191	3877191-1
3877194	3877194-1
3877194	3877194-2
3877223	3877223-1
3877241	3877241-1
3877253	3863670-1
3877271	3877271-1
3877275	3877275-1
3877279	3877279-1
3877290	3877290-1
3877315	3877315-1
3877319	3877319-1
3877408	3861317-1
3877446	3877446-1
3877449	3877449-1
3877536	3877536-1
3877547	3877547-1
3877547	3877547-2
3877550	3877550-1
3877584	3877584-1
3877620	3877620-1
3877623	3877623-1
3877670	3877670-1
3877670	3877670-2
3877690	3877690-1
3877691	3877691-1
3877708	3877708-1
3877714	3875952-1
3877780	3877780-1
3877852	3861837-1
3877865	3877865-1
3877908	3877908-1
3877972	3877972-1
3877976	3877976-1
3877976	3877976-2
3877990	3877990-1
3877990	3877990-2
3878010	3878010-1
3878047	3878047-1
3878047	3878047-2
3878067	3878067-1
3878082	3878082-1
3878133	3878133-1
