patent_id	inventor_id
3863694	3863694-1
3863697	3863697-1
3863716	3863716-1
3863720	3863720-1
3863723	3863723-1
3863733	3863733-1
3863733	3863733-2
3863742	3863742-1
3863742	3863742-2
3863748	3863748-1
3863749	3863749-1
3863749	3863749-2
3863749	3863749-3
3863749	3863749-4
3863761	3863761-1
3863767	3863767-1
3863774	3863774-1
3863784	3863784-1
3863795	3863795-1
3863807	3863807-1
3863807	3863807-2
3863810	3863810-1
3863811	3863811-1
3863811	3863811-2
3863817	3863817-1
3863819	3863819-1
3863820	3858747-1
3863824	3863824-1
3863826	3863826-1
3863829	3863829-1
3863831	3863831-1
3863831	3863831-2
3863834	3863834-1
3863836	3863836-1
3863839	3863839-1
3863845	3863845-1
3863852	3863852-1
3863852	3863852-2
3863855	3863855-1
3863867	3863867-1
3863867	3863867-2
3863867	3863867-3
3863868	3863868-1
3863870	3863870-1
3863870	3863870-2
3863871	3863871-1
3863881	3863881-1
3863881	3859119-1
3863881	3863881-3
3863888	3863888-1
3863894	3863894-1
3863894	3863894-2
3863897	3863897-1
3863915	3863915-1
3863918	3863918-1
3863931	3863931-1
3863931	3863931-2
3863940	3863940-1
3863947	3863947-1
3863952	3863952-1
3863953	3863953-1
3863966	3863966-1
3863967	3863967-1
3863968	3863968-1
3863985	3863985-1
3863995	3863995-1
3863999	3863999-1
3864005	3864005-1
3864009	3864009-1
3864017	3864017-1
3864024	3864024-1
3864029	3864029-1
3864041	3864041-1
3864043	3864043-1
3864045	3864045-1
3864052	3864052-1
3864055	3864055-1
3864055	3864055-2
3864068	3864068-1
3864070	3864070-1
3864080	3864080-1
3864080	3864080-2
3864098	3864098-1
3864100	3864100-1
3864103	3864103-1
3864103	3864103-2
3864143	3864143-1
3864143	3864143-2
3864147	3864147-1
3864147	3864147-2
3864147	3864147-3
3864157	3864157-1
3864157	3864157-2
3864162	3864162-1
3864168	3864168-1
3864168	3864168-2
3864178	3864178-1
3864178	3864178-2
3864180	3864180-1
3864184	3864184-1
3864184	3864184-2
3864184	3864184-3
3864208	3864208-1
3864211	3864211-1
3864211	3864211-2
3864230	3864230-1
3864230	3864230-2
3864239	3859119-1
3864239	3864239-2
3864243	3864243-1
3864243	3864243-2
3864243	3862900-1
3864258	3864258-1
3864258	3864258-2
3864259	3864259-1
3864265	3864265-1
3864267	3864267-1
3864276	3864276-1
3864276	3864276-2
3864279	3864279-1
3864280	3864280-1
3864282	3860533-1
3864284	3864284-1
3864284	3864284-2
3864286	3860625-1
3864309	3864309-1
3864309	3864309-2
3864309	3859353-1
3864313	3864313-1
3864314	3864314-1
3864314	3864314-2
3864320	3864320-1
3864320	3864320-2
3864327	3864327-1
3864334	3862229-1
3864342	3864342-1
3864345	3864345-1
3864345	3864345-2
3864346	3864346-1
3864346	3864346-2
3864346	3864346-3
3864351	3864351-1
3864364	3860629-2
3864376	3860629-2
3864376	3860629-1
3864392	3864392-1
3864392	3864392-2
3864392	3864392-3
3864392	3864392-4
3864394	3864394-1
3864394	3864394-2
3864394	3864394-3
3864397	3864397-1
3864397	3864397-2
3864397	3864397-3
3864404	3864404-1
3864407	3860664-1
3864417	3864417-1
3864423	3864423-1
3864425	3864425-1
3864434	3864434-1
3864434	3864434-2
3864445	3864445-1
3864451	3864451-1
3864451	3864451-2
3864455	3864455-1
3864458	3864458-1
3864460	3864460-1
3864476	3864476-1
3864501	3864501-1
3864501	3864501-2
3864501	3864501-3
3864503	3864503-1
3864506	3864506-1
3864506	3864506-2
3864511	3864511-1
3864511	3864511-2
3864511	3864511-3
3864518	3864518-1
3864522	3864522-1
3864522	3864522-2
3864522	3864522-3
3864529	3864529-1
3864529	3864529-2
3864533	3864533-1
3864538	3864538-1
3864538	3864538-2
3864539	3864539-1
3864542	3864542-1
3864542	3859119-1
3864542	3864542-3
3864551	3864551-1
3864562	3864562-1
3864566	3864566-1
3864566	3864566-2
3864568	3864568-1
3864569	3864569-1
