number	inventor_id	assignee_id	date
4448706	4382013-2	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-15
4448706	4382013-2	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-15
4448708	4435548-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448708	4156775-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448708	4435548-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448708	4156775-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448756	4448756-1	bd7698208472466cb1537aa756590e09	1984-05-15
4448756	4448756-2	bd7698208472466cb1537aa756590e09	1984-05-15
4448756	4448756-1	bd7698208472466cb1537aa756590e09	1984-05-15
4448756	4448756-2	bd7698208472466cb1537aa756590e09	1984-05-15
4448845	3909477-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448845	4272346-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448845	3936365-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448845	3909477-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448845	4272346-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448845	3936365-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448877	4281058-1	e34d8ad7046461ead1e234d78645f6cb	1984-05-15
4448877	4281058-1	e34d8ad7046461ead1e234d78645f6cb	1984-05-15
4448884	4016743-2	7ef4ef1e74a10d01614776e5b789ffa6	1984-05-15
4448884	4016743-2	7ef4ef1e74a10d01614776e5b789ffa6	1984-05-15
4448927	3865897-3	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-15
4448927	3865897-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-15
4448927	3865897-3	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-15
4448927	3865897-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-15
4448933	3878133-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448933	3878133-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448941	4393094-2	bd7698208472466cb1537aa756590e09	1984-05-15
4448941	3919154-3	bd7698208472466cb1537aa756590e09	1984-05-15
4448941	3940453-1	bd7698208472466cb1537aa756590e09	1984-05-15
4448941	4393094-2	bd7698208472466cb1537aa756590e09	1984-05-15
4448941	3919154-3	bd7698208472466cb1537aa756590e09	1984-05-15
4448941	3940453-1	bd7698208472466cb1537aa756590e09	1984-05-15
4448970	3892795-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-15
4448970	3892795-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-15
4449016	4016403-1	2982b72456467b3854b98052113aa52a	1984-05-15
4449016	4016403-1	2982b72456467b3854b98052113aa52a	1984-05-15
4449100	4449100-1	bd7698208472466cb1537aa756590e09	1984-05-15
4449100	4449100-2	bd7698208472466cb1537aa756590e09	1984-05-15
4449100	4449100-3	bd7698208472466cb1537aa756590e09	1984-05-15
4449100	4449100-1	bd7698208472466cb1537aa756590e09	1984-05-15
4449100	4449100-2	bd7698208472466cb1537aa756590e09	1984-05-15
4449100	4449100-3	bd7698208472466cb1537aa756590e09	1984-05-15
4449289	3913373-1	1b74a037b95447c7ce9deb8402022f66	1984-05-22
4449289	3913373-1	1b74a037b95447c7ce9deb8402022f66	1984-05-22
4449334	4449334-1	ea7ce27a9cb7baa0f6a78a0f1fc84778	1984-05-22
4449334	4437273-1	ea7ce27a9cb7baa0f6a78a0f1fc84778	1984-05-22
4449334	4449334-1	ea7ce27a9cb7baa0f6a78a0f1fc84778	1984-05-22
4449334	4437273-1	ea7ce27a9cb7baa0f6a78a0f1fc84778	1984-05-22
4449337	4449337-1	00fcc428e1c858a6a477ec75b6edc664	1984-05-22
4449337	4449337-2	00fcc428e1c858a6a477ec75b6edc664	1984-05-22
4449337	4443986-5	00fcc428e1c858a6a477ec75b6edc664	1984-05-22
4449337	4449337-1	00fcc428e1c858a6a477ec75b6edc664	1984-05-22
4449337	4449337-2	00fcc428e1c858a6a477ec75b6edc664	1984-05-22
4449337	4443986-5	00fcc428e1c858a6a477ec75b6edc664	1984-05-22
4449374	4106305-1	57534246a4b7ff0a51c30fba3a0aa572	1984-05-22
4449374	4106305-1	57534246a4b7ff0a51c30fba3a0aa572	1984-05-22
4449383	4086553-3	9cc20cbebd1093b6e909909128ea9cea	1984-05-22
4449383	4086553-3	9cc20cbebd1093b6e909909128ea9cea	1984-05-22
4449401	4136565-1	618a2b53054adc3e33ac829f50ad5eff	1984-05-22
4449401	4164144-3	618a2b53054adc3e33ac829f50ad5eff	1984-05-22
4449401	4136565-1	618a2b53054adc3e33ac829f50ad5eff	1984-05-22
4449401	4164144-3	618a2b53054adc3e33ac829f50ad5eff	1984-05-22
4449415	4198190-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-22
4449415	4198190-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-22
4449423	4204412-1	bd7698208472466cb1537aa756590e09	1984-05-22
4449423	4204412-1	bd7698208472466cb1537aa756590e09	1984-05-22
4449506	3873165-2	d1398639ae68c43f919489b9b08f11c3	1984-05-22
4449506	3873165-2	d1398639ae68c43f919489b9b08f11c3	1984-05-22
4449507	3893790-1	4363921fdcafcc01a92813bc32202b10	1984-05-22
4449507	3893790-1	4363921fdcafcc01a92813bc32202b10	1984-05-22
4449519	4336121-3	615de631912e0bf066369445eec81cbf	1984-05-22
4449519	4336121-3	615de631912e0bf066369445eec81cbf	1984-05-22
4449566	4449566-1	bd7698208472466cb1537aa756590e09	1984-05-22
4449566	4449566-2	bd7698208472466cb1537aa756590e09	1984-05-22
4449566	4449566-1	bd7698208472466cb1537aa756590e09	1984-05-22
4449566	4449566-2	bd7698208472466cb1537aa756590e09	1984-05-22
4449621	3861231-1	4bcf1149dab7738d933a859c2fb61d86	1984-05-22
4449621	3861231-1	4bcf1149dab7738d933a859c2fb61d86	1984-05-22
