citing	cited	citing_year	state	assignee_id
5462681	3860521	1995	MN	251bf62b38a1d6012ba275073733388a
5559087	3860521	1996	MN	251bf62b38a1d6012ba275073733388a
5723418	3860521	1998	MN	251bf62b38a1d6012ba275073733388a
5723418	3860521	1998	MN	251bf62b38a1d6012ba275073733388a
5863871	3860521	1999	MN	251bf62b38a1d6012ba275073733388a
5863871	3860521	1999	MN	251bf62b38a1d6012ba275073733388a
5863874	3860521	1999	MN	251bf62b38a1d6012ba275073733388a
5863874	3860521	1999	MN	251bf62b38a1d6012ba275073733388a
5925601	3860521	1999	MN	251bf62b38a1d6012ba275073733388a
5925601	3860521	1999	MN	251bf62b38a1d6012ba275073733388a
5932526	3860521	1999	MN	251bf62b38a1d6012ba275073733388a
5932526	3860521	1999	MN	251bf62b38a1d6012ba275073733388a
6247478	3860521	2001	MN	251bf62b38a1d6012ba275073733388a
6525005	3860521	2003	MN	251bf62b38a1d6012ba275073733388a
6554005	3860521	2003	MN	251bf62b38a1d6012ba275073733388a
6667283	3860521	2003	MN	251bf62b38a1d6012ba275073733388a
6756347	3860521	2004	MN	251bf62b38a1d6012ba275073733388a
7125827	3860521	2006	MN	251bf62b38a1d6012ba275073733388a
5174914	3860521	1992	MN	251bf62b38a1d6012ba275073733388a
5174914	3860521	1992	MN	251bf62b38a1d6012ba275073733388a
5182035	3860521	1993	MN	251bf62b38a1d6012ba275073733388a
5182035	3860521	1993	MN	251bf62b38a1d6012ba275073733388a
5244589	3860521	1993	MN	251bf62b38a1d6012ba275073733388a
5244589	3860521	1993	MN	251bf62b38a1d6012ba275073733388a
6855676	3860521	2005	MN	251bf62b38a1d6012ba275073733388a
5352376	3860521	1994	MN	251bf62b38a1d6012ba275073733388a
5352376	3860521	1994	MN	251bf62b38a1d6012ba275073733388a
6967189	3860521	2005	MN	251bf62b38a1d6012ba275073733388a
6967189	3860521	2005	MN	251bf62b38a1d6012ba275073733388a
7335373	3860709	2008	WA	eef15849d344c0101b0f5f16f1ba7145
4000397	3860794	1976	CA	316a3766ca54dc581c131cddfab4eefe
4000397	3860794	1976	CA	316a3766ca54dc581c131cddfab4eefe
5366553	3860904	1994	OK	cb67c3c11e6d11d96ecc22c4dd473b71
5366553	3860904	1994	OK	cb67c3c11e6d11d96ecc22c4dd473b71
5482314	3860904	1996	CA	acb12f1e25c7efe2cbb79fe35ddd7f25
7132934	3860904	2006	NV	NULL
6758353	3860999	2004	CA	NULL
5186591	3860999	1993	CA	
5186591	3860999	1993	CA	
6591573	3861107	2003	CA	NULL
7197856	3861107	2007	CA	NULL
4551960	3861107	1985	CA	
4551960	3861107	1985	CA	
5048995	3861107	1991	MN	b4f5cb2484bc244b32af7aef6e94ebba
5048995	3861107	1991	MN	b4f5cb2484bc244b32af7aef6e94ebba
7578109	3861107	2009	CA	262899628d86b90b397f7a42e56196d8
7578109	3861107	2009	CA	262899628d86b90b397f7a42e56196d8
7587862	3861107	2009	CA	262899628d86b90b397f7a42e56196d8
7587862	3861107	2009	NV	262899628d86b90b397f7a42e56196d8
7530201	3861107	2009	CA	262899628d86b90b397f7a42e56196d8
7530201	3861107	2009	CA	262899628d86b90b397f7a42e56196d8
4522009	3861108	1985	MN	
4522009	3861108	1985	MN	
4072424	3861198	1978	CA	
4072424	3861198	1978	CA	
4786188	3861198	1988	MN	ff5e2f3234c39f4b646afd9ed98df27d
4786188	3861198	1988	MN	ff5e2f3234c39f4b646afd9ed98df27d
4836689	3861198	1989	MN	ff5e2f3234c39f4b646afd9ed98df27d
4836689	3861198	1989	MN	ff5e2f3234c39f4b646afd9ed98df27d
5083865	3861198	1992	CA	b2c7ca05911e61598e7d2afb6735744f
5083865	3861198	1992	CA	b2c7ca05911e61598e7d2afb6735744f
4279392	3861238	1981	CA	906aba339617a4c866795b7b7adfdf0f
4279392	3861238	1981	CA	906aba339617a4c866795b7b7adfdf0f
5613450	3861325	1997	MN	d49182669d2f0a5c7e4f26875cda84b7
5615451	3861325	1997	MN	d49182669d2f0a5c7e4f26875cda84b7
5660121	3861325	1997	MN	d49182669d2f0a5c7e4f26875cda84b7
4133271	3861325	1979	MN	d49182669d2f0a5c7e4f26875cda84b7
4133271	3861325	1979	MN	d49182669d2f0a5c7e4f26875cda84b7
6024026	3861325	2000	MN	d49182669d2f0a5c7e4f26875cda84b7
6024026	3861325	2000	MN	d49182669d2f0a5c7e4f26875cda84b7
6070367	3861325	2000	MN	d49182669d2f0a5c7e4f26875cda84b7
6129366	3861325	2000	MN	c0fda0a8635cfbfb486bdf2a403e543a
6164017	3861325	2000	MN	d49182669d2f0a5c7e4f26875cda84b7
6192808	3861325	2001	MN	d49182669d2f0a5c7e4f26875cda84b7
6401631	3861325	2002	CA	0bdf7695fa219d043ffffa4f1668c46d
6601861	3861325	2003	MN	c0fda0a8635cfbfb486bdf2a403e543a
4949649	3861325	1990	MN	d49182669d2f0a5c7e4f26875cda84b7
4949649	3861325	1990	MN	d49182669d2f0a5c7e4f26875cda84b7
4026221	3861325	1977	MN	d49182669d2f0a5c7e4f26875cda84b7
4026221	3861325	1977	MN	d49182669d2f0a5c7e4f26875cda84b7
4054096	3861325	1977	MN	d49182669d2f0a5c7e4f26875cda84b7
4054096	3861325	1977	MN	d49182669d2f0a5c7e4f26875cda84b7
5118961	3861371	1992	MN	f94bbc8d5d0a3a3949e1bb031161547e
5118961	3861371	1992	MN	f94bbc8d5d0a3a3949e1bb031161547e
5952113	3861454	1999	CA	NULL
4369575	3861556	1983	CT	a8ddf05b3909d9b5d0892c7e310bd00a
4369575	3861556	1983	CT	a8ddf05b3909d9b5d0892c7e310bd00a
3968992	3861556	1976	CT	d122e9e56f199b85f6de8161f77050c7
3968992	3861556	1976	CT	d122e9e56f199b85f6de8161f77050c7
5261549	3861556	1993	WA	
5261549	3861556	1993	WA	
