citing	cited	citing_year	state_x
7198178	4050860	2007	CT
4523913	4033002	1985	CA
7891634	3993324	2011	WA
7975655	4045026	2011	CA
8167314	4415165	2012	CA
8579999	4287023	2013	OK
6456454	4339777	2002	CA
5064056	4307803	1991	CA
5584408	4333580	1996	CA
7040487	4333580	2006	CA
5293719	4333580	1994	CA
8425773	4333580	2013	CA
5871702	4283427	1999	MN
4761290	4283427	1988	MN
4937412	4283427	1990	MN
4971817	4283427	1990	MN
5039495	4283427	1991	MN
5117078	4283427	1992	MN
7942145	4283427	2011	MN
7399329	4136015	2008	WV
4724272	4136015	1988	WV
5219530	4136015	1993	WV
5300216	4136015	1994	WV
6948306	4136015	2005	WV
7416571	4136015	2008	WV
7351751	4136015	2008	WV
4552409	3980339	1985	CA
4523465	4279078	1985	OK
4771272	4279078	1988	OK
8546485	4439616	2013	CT
5849837	4439616	1998	CT
5194660	4439616	1993	CT
4451015	4093122	1984	CA
8127532	4093122	2012	CA
4933676	4216465	1990	CA
6060093	4497836	2000	CA
4820540	4497836	1989	CA
4217492	4068910	1980	CA
7048050	4414739	2006	CA
8091639	4126406	2012	OK
4785211	4126406	1988	OK
8353345	4126406	2013	OK
8109094	4126406	2012	OK
8272437	4126406	2012	OK
8522872	4126406	2013	OK
6497054	4153427	2002	WV
4624684	4153427	1986	WV
7731783	4153427	2010	WV
7899555	4154247	2011	MN
5365926	4154247	1994	MN
5387233	4154247	1995	MN
5397339	4154247	1995	MN
5433729	4154247	1995	MN
5476498	4154247	1995	MN
5500011	4154247	1996	MN
5628779	4154247	1997	MN
5643338	4154247	1997	MN
5948014	4154247	1999	MN
6345198	4154247	2002	MN
6738673	4154247	2004	MN
4365639	4154247	1982	MN
8478423	4154247	2013	MN
7403823	4154247	2008	MN
7027852	4154247	2006	MN
4940064	4154247	1990	MN
5215103	4154247	1993	MN
5231995	4154247	1993	MN
8406902	4154247	2013	MN
7792590	4154247	2010	MN
5346149	4179804	1994	CA
D649847	4179804	2011	CA
5369353	4251735	1994	CT
5526252	4251735	1996	CT
6583995	4251735	2003	CT
8000817	4251735	2011	CT
5187427	4251735	1993	CT
5225712	4251735	1993	CT
4423317	4130756	1983	MN
4443693	4130756	1984	MN
6399676	4345013	2002	CA
6576732	4345013	2003	CA
6765053	4345013	2004	CA
4240250	3937238	1980	CT
7857254	3937238	2010	CT
5593567	4321061	1997	OK
5653866	4321061	1997	OK
5837126	4321061	1998	OK
6030521	4321061	2000	OK
4523913	4195380	1985	CA
5358437	4195380	1994	CA
5833605	4301677	1998	CT
6081737	4301677	2000	CT
4541278	4301677	1985	CT
4569558	4251109	1986	MN
7077891	4354859	2006	WV
6511526	4354859	2003	WV
6641644	4354859	2003	WV
4530705	4354859	1985	WV
8597408	4354859	2013	WV
8394178	4354859	2013	WV
8449493	4515591	2013	CA
RE37867	4444276	2002	OK
RE38616	4444276	2004	OK
RE38636	4444276	2004	OK
RE38642	4444276	2004	OK
RE39141	4444276	2006	OK
5197783	4444276	1993	OK
RE40067	4444276	2008	OK
6065649	4101043	2000	CT
4228928	4101043	1980	CT
4285074	4101043	1981	CT
5505130	4181560	1996	CA
5636569	4181560	1997	CA
5870953	4181560	1999	CA
4817526	4181560	1989	CA
7536952	4181560	2009	CA
7963221	4181560	2011	CA
7194954	4181560	2007	CA
5474566	4334539	1995	OK
5628446	4334539	1997	OK
5680981	4334539	1997	OK
5779130	4334539	1998	OK
5954259	4334539	1999	OK
7918230	4334539	2011	OK
7032798	4334539	2006	OK
8016855	4334539	2011	OK
7951071	4334539	2011	OK
8540733	4334539	2013	OK
7695485	4334539	2010	OK
8342379	4334539	2013	OK
6981941	4334539	2006	OK
8518074	4334539	2013	OK
7992758	4334539	2011	OK
