citing	cited	citing_year	state
4348459	3873348	1982	CT
4258889	3873392	1981	WA
6595868	3873392	2003	CA
4489785	3873493	1984	OK
4675361	3873636	1987	CA
4861830	3873636	1989	CA
4260638	3873743	1981	CA
4959236	3873743	1990	CA
6391355	3873755	2002	MN
8337934	3873755	2012	MN
6730853	3873758	2004	MN
4957333	3873758	1990	CA
4005842	3873758	1977	CA
4564835	3873770	1986	CT
4990726	3873770	1991	CT
5051545	3873770	1991	CT
5113042	3873770	1992	CT
5210380	3873770	1993	CT
6125528	3873864	2000	CT
6150743	3873864	2000	CT
5432412	3873902	1995	CA
6502669	3873902	2003	CA
4863335	3873902	1989	WA
4118009	3874049	1978	CT
6110419	3874049	2000	CA
4026657	3874049	1977	CT
4095577	3874354	1978	CA
6609507	3874354	2003	CA
6752134	3874354	2004	CA
6540040	3874474	2003	CA
4877223	3874485	1989	MN
4388030	3874538	1983	WA
4696609	3874538	1987	CA
3977724	3874694	1976	MN
7810850	3874709	2010	WA
6464266	3874709	2002	WA
6663145	3874709	2003	CA
7156423	3874709	2007	MN
6860523	3874709	2005	WA
7523966	3874709	2009	WA
7232159	3874709	2007	WA
5431479	3874729	1995	CA
6338344	3874729	2002	CA
5630683	3874808	1997	WA
4770570	3874808	1988	CA
4841817	3874808	1989	CA
5108241	3874808	1992	WA
8298504	3874854	2012	WA
4830833	3874854	1989	CT
5229071	3874854	1993	CA
8034310	3874854	2011	WA
7807120	3874854	2010	WA
5514258	3875032	1996	CA
5102513	3875032	1992	CA
8124142	3875215	2012	MN
RE39558	3875242	2007	CT
6911456	3875242	2005	CT
4214055	3875258	1980	WV
4242476	3875258	1980	WV
4357430	3875258	1982	WV
4463107	3875258	1984	WV
4652589	3875258	1987	WV
4997857	3875258	1991	WV
4041105	3875258	1977	CT
7883568	3875293	2011	CA
5686368	3875296	1997	CA
5867005	3875483	1999	CA
5350992	3875483	1994	MN
8590330	3875483	2013	MN
7944728	3875566	2011	CA
5405400	3875594	1995	MN
5405401	3875594	1995	MN
5702470	3875594	1997	CA
6059832	3875594	2000	CA
6302915	3875594	2001	MN
6709459	3875594	2004	MN
8597362	3875594	2013	CA
4871367	3875594	1989	CA
7655041	3875594	2010	CA
8100967	3875594	2012	CA
8088166	3875594	2012	CA
7678147	3875594	2010	CA
7611540	3875594	2009	CA
8409281	3875594	2013	CA
6877291	3875719	2005	CA
8397454	3875719	2013	WA
8397454	3875719	2013	CA
6988346	3875719	2006	CA
8112968	3875719	2012	NV
8109124	3875719	2012	CA
8479470	3875719	2013	WA
8479470	3875719	2013	CA
6941715	3875719	2005	MN
8443568	3875719	2013	CA
6993882	3875719	2006	CA
6848545	3875820	2005	CA
6520046	3875820	2003	CA
7963189	3875820	2011	CA
4182426	3876023	1980	MN
4018294	3876023	1977	CA
4492348	3876164	1985	CA
7275919	3876346	2007	WA
7303380	3876346	2007	WA
4414293	3876470	1983	CA
4540552	3876509	1985	WV
4166486	3876743	1979	CA
4172901	3876743	1979	CA
6251452	3876743	2001	MN
7270531	3876743	2007	CA
6579555	3876743	2003	MN
4786243	3876743	1988	CT
4835000	3876743	1989	CT
5183671	3876743	1993	CT
7718103	3876743	2010	CA
4209352	3876820	1980	CA
5210676	3876820	1993	CT
4845475	3877000	1989	WA
5015172	3877000	1991	MN
4224624	3877002	1980	CA
4274226	3877002	1981	CA
6478573	3877002	2002	MN
7679547	3877002	2010	CA
4837574	3877002	1989	WA
4951058	3877002	1990	CA
4027303	3877002	1977	CA
4455568	3877053	1984	CA
8464370	3877087	2013	CA
8321971	3877087	2012	CA
4031577	3877087	1977	CA
5544593	3877191	1996	MN
5979854	3877191	1999	CA
5136822	3877191	1992	NV
5590505	3877194	1997	WA
5768849	3877194	1998	CA
5881520	3877194	1999	CA
4104889	3877241	1978	MN
5660506	3877241	1997	CA
6279329	3877241	2001	CA
6571573	3877241	2003	MN
6827529	3877241	2004	CA
4788830	3877241	1988	CA
4055280	3877241	1977	MN
6953132	3877241	2005	CA
4305326	3877253	1981	CA
5836196	3877279	1998	WA
6976385	3877315	2005	CA
5383811	3877319	1995	OK
7272989	3877319	2007	WA
4480708	3877550	1984	MN
5943930	3877690	1999	CT
6116131	3877690	2000	CT
6439089	3877690	2002	CT
4560250	3877780	1985	OK
4786188	3877780	1988	MN
4836689	3877780	1989	MN
4921293	3877780	1990	CA
7311405	3877780	2007	CA
5370729	3877972	1994	MN
5407700	3877972	1995	MN
5494503	3877972	1996	MN
4775436	3878010	1988	CT
4863211	3878010	1989	CT
5683568	3878067	1997	OK
5932082	3878067	1999	OK
4059607	3878234	1977	CT
5411995	3878263	1995	CT
5464659	3878263	1995	MN
5514730	3878263	1996	MN
5527578	3878263	1996	MN
5624763	3878263	1997	MN
5663269	3878263	1997	CT
5907018	3878263	1999	MN
4293678	3878263	1981	WV
4331704	3878263	1982	WV
4369300	3878263	1983	CT
4387240	3878263	1983	MN
4423195	3878263	1983	CT
4503208	3878263	1985	CT
4504629	3878263	1985	CT
4528081	3878263	1985	CT
4665147	3878263	1987	CT
5217760	3878263	1993	CT
5264278	3878263	1993	MN
5300608	3878263	1994	CT
5308887	3878263	1994	MN
7762188	3878263	2010	CA
4684858	3878446	1987	CA
7124492	3878598	2006	CA
7112142	3878599	2006	CA
7383624	3878599	2008	CA
7136738	3878676	2006	CT
4805658	3878676	1989	CT
5490387	3878678	1996	CT
4663936	3878679	1987	MN
5778749	3878773	1998	OK
6868767	3878773	2005	OK
3972312	3878823	1976	CA
6802360	3878887	2004	CA
8469123	3878913	2013	NV
5917304	3878913	1999	CA
8509992	3878913	2013	CA
8579054	3878913	2013	NV
5280827	3878913	1994	CA
5287004	3878913	1994	CA
8220570	3878913	2012	NV
7665554	3878913	2010	CT
4102440	3878921	1978	CA
6485054	3878950	2002	CA
4535977	3879023	1985	WA
4561393	3879023	1985	OK
4646884	3879023	1987	CA
5597188	3879072	1997	CA
4717184	3879072	1988	CA
6902157	3879075	2005	CA
D395121	3879096	1998	MN
5802781	3879096	1998	MN
4586759	3879096	1986	MN
4884420	3879096	1989	CA
5195812	3879096	1993	MN
7694634	3879096	2010	CA
5448417	3879109	1995	WA
5579166	3879109	1996	CA
4205278	3879109	1980	CA
4256962	3879109	1981	WA
