id	year(patent.date)	inventor_id	state
4214961	1980	3859058-1	MO
3859059	1975	3859059-1	CT
3867799	1975	3859059-1	CT
3960208	1976	3859059-1	CT
4939316	1990	3859059-1	CT
5023398	1991	3859059-1	CT
5155299	1992	3859059-1	CT
4005003	1977	3859059-1	CT
3872921	1975	3859059-1	CT
4039298	1977	3859059-1	CT
5608267	1997	3859059-1	CT
3878871	1975	3859059-1	CT
4093782	1978	3859059-1	CT
4149910	1979	3859059-1	CT
6300673	2001	3859059-1	CT
4167410	1979	3859059-1	CT
4169729	1979	3859059-1	CT
4171972	1979	3859059-1	CT
4178990	1979	3859059-1	CT
4182399	1980	3859059-1	CT
4194928	1980	3859059-1	CT
4196262	1980	3859059-1	CT
4202708	1980	3859059-1	CT
4209059	1980	3859059-1	CT
4211827	1980	3859059-1	CT
3861884	1975	3859059-1	CT
4246960	1981	3859059-1	CT
4275784	1981	3859059-1	CT
4325746	1982	3859059-1	CT
3859060	1975	3859060-1	WV
4026699	1977	3859060-1	WV
4058416	1977	3859060-1	WV
3929513	1975	3859084-1	MN
3948680	1976	3859084-1	MN
3988165	1976	3859084-1	MN
4006035	1977	3859084-1	MN
4007056	1977	3859084-1	MN
3879009	1975	3859084-1	MN
4086392	1978	3859084-1	MN
4166155	1979	3859084-1	MN
3859084	1975	3859084-1	MN
4329408	1982	3859084-1	MN
3919014	1975	3859119-1	CA
3920339	1975	3859119-1	CA
3863881	1975	3859119-1	CA
3924239	1975	3859119-1	CA
3924237	1975	3859119-1	OH
3924176	1975	3859119-1	CA
3922930	1975	3859119-1	PA
3923166	1975	3859119-1	PA
3924183	1975	3859119-1	NJ
3924068	1975	3859119-1	TX
3925312	1975	3859119-1	OH
3927324	1975	3859119-1	MD
3866022	1975	3859119-1	CA
3866128	1975	3859119-1	TX
3926567	1975	3859119-1	CA
3864953	1975	3859119-1	CA
3864960	1975	3859119-1	CA
3929119	1975	3859119-1	AL
3931516	1976	3859119-1	MD
3865975	1975	3859119-1	CA
3859119	1975	3859119-1	CA
3938188	1976	3859119-1	CA
3938035	1976	3859119-1	CA
3937661	1976	3859119-1	CO
3937387	1976	3859119-1	TX
3937212	1976	3859119-1	CA
3939439	1976	3859119-1	CA
